Year,FIPS,Crop,WaterManagement,yield_kgHa,yield_kcalHa,yield_kgHa_detrended,yield_kcalHa_detrended,management_records
2015,20013,Corn,Non-Irrigated,11178.933098308966,40031.75942504441,12572.376752337375,45021.68115012014,2
2016,20013,Corn,Non-Irrigated,10067.94423901605,36053.30831991648,11147.549232227246,39919.37380060577,2
2017,20013,Corn,Non-Irrigated,9321.008226271091,33378.530458276786,10162.095837261211,36390.4651932324,2
2018,20013,Corn,Non-Irrigated,7136.691146983321,25556.49099734727,7663.940097156232,27444.569487916466,2
2019,20013,Corn,Non-Irrigated,10683.06801421778,38256.066558913866,11310.745335852194,40503.77904768671,2
2020,20013,Corn,Non-Irrigated,12189.493586140376,43650.57653196869,12716.74253631329,45538.65502253789,2
2021,20013,Corn,Non-Irrigated,12754.403175611356,45673.51777186426,13112.179248942972,46954.71389046478,2
1990,20045,Corn,Irrigated,8335.554831305059,29849.621850903415,11260.531150121442,40323.962048584886,2
1991,20045,Corn,Irrigated,8360.661924170434,29939.530350454323,11178.933098308966,40031.75942504441,2
1992,20045,Corn,Irrigated,10375.506126616914,37154.68743941517,13727.3030241447,49157.47212946218,2
1993,20045,Corn,Irrigated,6446.246093185463,23084.007259697144,8442.259975982908,30231.732973994793,2
1994,20045,Corn,Irrigated,7601.17236499279,27219.79823903918,9848.257176444004,35266.60894884598,2
1995,20045,Corn,Irrigated,7833.412973997524,28051.451859885135,10049.113919367015,35985.87694525329,2
1996,20045,Corn,Irrigated,10544.979003458207,37761.56981138384,13394.63404367846,47966.18451041256,2
1997,20045,Corn,Irrigated,10689.344787434124,38278.5436838016,13444.848229409212,48146.00150951439,2
1998,20045,Corn,Irrigated,9766.65912463153,34974.40632530551,12158.109720058656,43538.19090753005,2
1999,20045,Corn,Irrigated,9390.052731650878,33625.7788320418,11580.646584154994,41470.29541785904,2
2000,20045,Corn,Irrigated,9578.355928141204,34300.09257867365,11699.905275265535,41897.360790725885,2
2001,20045,Corn,Irrigated,10256.247435506377,36727.62206654833,12402.90387549608,44414.79877815146,2
2002,20045,Corn,Irrigated,9013.446338670228,32277.151338778087,10802.326705328318,38683.13193178071,2
2003,20045,Corn,Irrigated,10425.720312347665,37334.50443851699,12377.796782630703,44324.89027860055,2
2004,20045,Corn,Irrigated,12145.55617362597,43493.2366577546,14279.659067182987,51135.45911958228,2
2005,20045,Corn,Irrigated,11097.335046496491,39739.55680150394,12930.152825668987,46302.87726872065,2
2006,20045,Corn,Irrigated,9703.891392468087,34749.63507642822,11204.040191174345,40121.66792459533,2
2007,20045,Corn,Irrigated,10733.282199948531,38435.88355801569,12283.64518438554,43987.73340528462,2
2008,20045,Corn,Irrigated,11492.771759126175,41155.61566943083,13030.581197130496,46662.51126692431,2
2009,20045,Corn,Irrigated,11794.056873510695,42234.5176640418,13256.545032918888,47471.68776288254,2
2010,20045,Corn,Irrigated,8435.983202766565,30209.25584910707,9396.329504867224,33648.255956929526,2
2011,20045,Corn,Irrigated,10049.113919367015,35985.87694525329,11097.335046496491,39739.55680150394,2
2012,20045,Corn,Irrigated,10099.328105097771,36165.69394435512,11059.674407198429,39604.69405217757,2
2013,20045,Corn,Irrigated,10457.104178429388,37446.89006295563,11348.40597515026,40638.641797013086,2
2014,20045,Corn,Irrigated,11894.485244972202,42594.15166224546,12804.617361342109,45853.33477096608,2
2015,20045,Corn,Irrigated,10827.433798193695,38773.040431331625,11555.539491289615,41380.38691830812,2
2016,20045,Corn,Irrigated,9954.962321121851,35648.72007193736,10532.425457025518,37716.61556160838,2
2017,20045,Corn,Irrigated,11737.5659145636,42032.22354005225,12321.305823683608,44122.596154611,2
2018,20045,Corn,Irrigated,10708.175107083154,38345.97505846478,11147.549232227246,39919.37380060577,2
2019,20045,Corn,Irrigated,10971.79958216961,39290.01430374937,11329.575655501229,40571.21042234989,2
2020,20045,Corn,Irrigated,11423.72725374639,40908.36729566583,11699.905275265535,41897.360790725885,2
2021,20045,Corn,Irrigated,12440.564514794143,44549.66152747783,12641.421257717158,45268.92952388514,2
1990,20045,Corn,Non-Irrigated,6414.862227103743,22971.621635258503,8398.3225634685,30074.3930997807,2
1991,20045,Corn,Non-Irrigated,4192.8845085179055,15014.71942500262,5435.685605354051,19465.19015277286,2
1992,20045,Corn,Non-Irrigated,8486.197388497318,30389.072848208893,10902.755076789825,39042.76592998436,2
1993,20045,Corn,Non-Irrigated,4368.634158575543,15644.078921859018,5561.221069680935,19914.73265052743,2
1994,20045,Corn,Non-Irrigated,6571.781557512346,23533.54975745171,8291.617418790649,29692.281976689315,2
1995,20045,Corn,Non-Irrigated,5749.524266171259,20589.04639715928,7186.905332714075,25736.3079964491,2
1996,20045,Corn,Non-Irrigated,8103.314222300323,29017.968230057457,10042.837146150672,35963.39982036556,2
1997,20045,Corn,Non-Irrigated,7312.440797040958,26185.85049420367,8982.062472588506,32164.765714339443,2
1998,20045,Corn,Non-Irrigated,7638.833004290856,27354.660988365555,9302.17790662206,33311.09908361359,2
1999,20045,Corn,Non-Irrigated,5310.150141027168,19015.647655018285,6408.585453887397,22949.14451037077,2
2000,20045,Corn,Non-Irrigated,6584.335103945035,23578.504007227173,7877.350386511934,28208.791734099235,2
2001,20045,Corn,Non-Irrigated,6697.31702183923,23983.09225520628,7946.39489189172,28456.040107864246,2
2002,20045,Corn,Non-Irrigated,3759.7871565901582,13463.797807749355,4425.12511752264,15846.373045848572,2
2003,20045,Corn,Non-Irrigated,4249.375467465004,15217.013548992178,4958.650840911895,17756.928661305497,2
2004,20045,Corn,Non-Irrigated,10400.61321948229,37244.59593896608,12038.85102894812,43111.12553466322,2
2005,20045,Corn,Non-Irrigated,6665.93315575751,23870.706630767643,7651.386550723544,27399.61523814101,2
2006,20045,Corn,Non-Irrigated,5247.382408863726,18790.876406141,5975.48810195965,21398.222893117505,2
2007,20045,Corn,Non-Irrigated,7237.119518444828,25916.12499555093,8172.358727680109,29265.21660382247,2
2008,20045,Corn,Non-Irrigated,7695.323963237952,27556.955112355103,8618.009626040546,30861.092470851196,2
2009,20045,Corn,Non-Irrigated,8360.661924170434,29939.530350454323,9289.624360189371,33266.14483383814,2
2010,20045,Corn,Non-Irrigated,5762.077812603949,20634.00064693474,6352.0944949403,22746.850386381215,2
2011,20045,Corn,Non-Irrigated,3866.4923012680088,13845.908930840738,4230.545147815971,15149.582174328993,2
2012,20045,Corn,Non-Irrigated,2134.102893557018,7642.222461827681,2316.129316830999,8294.059083571807,2
2013,20045,Corn,Non-Irrigated,7707.877509670641,27601.90936213057,8304.1709652233385,29737.236226464775,2
2014,20045,Corn,Non-Irrigated,9314.73145305475,33356.053333389056,9954.962321121851,35648.72007193736,2
2015,20045,Corn,Non-Irrigated,8894.18764755969,31850.085965911247,9433.99014416529,33783.1187062559,2
2016,20045,Corn,Non-Irrigated,8172.358727680109,29265.21660382247,8605.456079607857,30816.138221075733,2
2017,20045,Corn,Non-Irrigated,9421.4365977326,33738.16445648044,9841.98040322766,35244.131823958254,2
2018,20045,Corn,Non-Irrigated,4293.312879979413,15374.353423206278,4450.232210388017,15936.281545399488,2
2019,20045,Corn,Non-Irrigated,7444.253034584186,26657.87011684597,7663.940097156232,27444.569487916466,2
2020,20045,Corn,Non-Irrigated,9377.49918521819,33580.82458226634,9584.632701357548,34322.56970356138,2
2021,20045,Corn,Non-Irrigated,8712.161224285708,31198.24934416712,8837.696688612592,31647.79184192169,2
1990,20061,Corn,Irrigated,8279.063872357961,29647.32772691386,12974.0902381834,46460.21714293476,2
1991,20061,Corn,Irrigated,6948.387950492996,24882.17725071542,10708.175107083154,38345.97505846478,2
1992,20061,Corn,Irrigated,9082.490844050011,32524.399712543094,13758.68689022642,49269.85775390081,2
1993,20061,Corn,Irrigated,4720.133458690816,16902.797915571813,7036.262775521815,25196.856999143616,2
1994,20061,Corn,Irrigated,7444.253034584186,26657.87011684597,10915.308623222512,39087.72017975982,2
1995,20061,Corn,Irrigated,7437.976261367841,26635.39299195824,10733.282199948531,38435.88355801569,2
1996,20061,Corn,Irrigated,10136.988744395834,36300.55669368148,14398.917758293528,51562.52449244913,2
1997,20061,Corn,Irrigated,10061.667465799706,36030.831195028746,14072.52555104363,50393.71399828723,2
1998,20061,Corn,Irrigated,9540.69528884314,34165.22982934728,13143.563115024692,47067.09951490342,2
1999,20061,Corn,Irrigated,8837.696688612592,31647.79184192169,11994.91361643371,42953.78566044912,2
2000,20061,Corn,Irrigated,9484.204329896042,33962.935705357726,12685.358670231568,45426.26939809924,2
2001,20061,Corn,Irrigated,9101.321163699047,32591.831087206287,11994.91361643371,42953.78566044912,2
2002,20061,Corn,Irrigated,8266.510325925272,29602.373477138397,10739.558973164874,38458.36068290342,2
2003,20061,Corn,Irrigated,10124.435197963146,36255.60244390603,12967.813464967056,46437.74001804703,2
2004,20061,Corn,Irrigated,11831.71751280876,42369.38041336817,14944.99702811547,53518.03435768149,2
2005,20061,Corn,Irrigated,10827.433798193695,38773.040431331625,13488.785641923623,48303.3413837285,2
2006,20061,Corn,Irrigated,9785.489444280562,35041.83769996869,12026.29748251543,43066.17128488776,2
2007,20061,Corn,Irrigated,9754.105578198842,34929.452075530055,11831.71751280876,42369.38041336817,2
2008,20061,Corn,Irrigated,11473.941439477145,41088.18429476765,13733.579797361046,49179.94925434991,2
2009,20061,Corn,Irrigated,11423.72725374639,40908.36729566583,13495.062415139966,48325.81850861622,2
2010,20061,Corn,Irrigated,8906.741193992379,31895.040215686706,10388.059673049602,37199.64168919063,2
2011,20061,Corn,Irrigated,9277.070813756683,33221.190584062686,10683.06801421778,38256.066558913866,2
2012,20061,Corn,Irrigated,9716.444938900777,34794.589326203684,11047.12086076574,39559.73980240212,2
2013,20061,Corn,Irrigated,11329.575655501229,40571.21042234989,12723.019309529633,45561.13214742561,2
2014,20061,Corn,Irrigated,12208.323905789412,43718.00790663188,13545.27660087072,48505.63550771805,2
2015,20061,Corn,Irrigated,11109.88859292918,39784.5110512794,12176.940039707692,43605.622282193246,2
2016,20061,Corn,Irrigated,10614.023508837992,38008.81818514885,11499.048532342518,41178.09279431856,2
2017,20061,Corn,Irrigated,12089.06521467887,43290.94253376503,12942.706372101678,46347.83151849611,2
2018,20061,Corn,Irrigated,10595.19318918896,37941.38681048567,11210.316964390688,40144.14504948305,2
2019,20061,Corn,Irrigated,11141.272459010905,39896.896675718046,11655.967862751122,41740.02091651177,2
2020,20061,Corn,Irrigated,12710.465763096943,45516.17789765015,13143.563115024692,47067.09951490342,2
2021,20061,Corn,Irrigated,12923.876052452646,46280.40014383292,13212.607620404478,47314.34788866844,2
1990,20061,Corn,Non-Irrigated,5630.265575060721,20161.981024292443,6891.896991545898,24679.88312672586,2
1991,20061,Corn,Non-Irrigated,5172.061130267597,18521.150907488263,6289.326762776859,22522.079137503933,2
1992,20061,Corn,Non-Irrigated,7921.287799026343,28366.131608313335,9565.802381708516,34255.138328898196,2
1993,20061,Corn,Non-Irrigated,5178.337903483941,18543.628032375993,6214.005484180729,22252.35363885119,2
1994,20061,Corn,Non-Irrigated,8191.189047329142,29332.64797848566,9760.382351415185,34951.92920041778,2
1995,20061,Corn,Non-Irrigated,5956.657782310617,21330.79151845432,7055.093095170848,25264.288373806805,2
1996,20061,Corn,Non-Irrigated,7469.360127449563,26747.778616396885,8787.48250288184,31467.974842819865,2
1997,20061,Corn,Non-Irrigated,7099.030507685256,25421.628248020905,8297.894192006992,29714.75910157704,2
1998,20061,Corn,Non-Irrigated,7023.709229089127,25151.902749368164,8153.528408031077,29197.785229159286,2
1999,20061,Corn,Non-Irrigated,6653.379609324821,23825.752380992184,7676.493643588919,27489.52373769192,2
2000,20061,Corn,Non-Irrigated,5837.399091200078,20903.72614558748,6691.040248622885,23960.61513031855,2
2001,20061,Corn,Non-Irrigated,5674.2029875751305,20319.320898506543,6465.0764128344945,23151.43863436033,2
2002,20061,Corn,Non-Irrigated,1311.8456022159314,4697.71910153525,1487.5952522735683,5327.0785983916485,2
2003,20061,Corn,Non-Irrigated,4669.919272960064,16722.980916469987,5253.659182080071,18813.353531028737,2
2004,20061,Corn,Non-Irrigated,9459.097237030664,33873.02720580681,10576.362869539927,37873.95543582248,2
2005,20061,Corn,Non-Irrigated,7262.226611310205,26006.033495101845,8071.930356218602,28905.582605618816,2
2006,20061,Corn,Non-Irrigated,3853.9387548353207,13800.954681065285,4255.652240681347,15239.490673879904,2
2007,20061,Corn,Non-Irrigated,7481.913673882252,26792.732866172344,8210.019366978177,29400.07935314885,2
2008,20061,Corn,Non-Irrigated,8718.437997502053,31220.72646905485,9509.311422761417,34052.84420490864,2
2009,20061,Corn,Non-Irrigated,9722.72171211712,34817.06645109141,10544.979003458207,37761.56981138384,2
2010,20061,Corn,Non-Irrigated,7488.1904470985955,26815.20999106007,8071.930356218602,28905.582605618816,2
2011,20061,Corn,Non-Irrigated,4092.4561370563993,14655.085426798963,4387.464478224576,15711.510296522209,2
2012,20061,Corn,Non-Irrigated,2705.289256244337,9687.640826610972,2881.0389063019743,10317.00032346737,2
2013,20061,Corn,Non-Irrigated,7864.796840079245,28163.837484323776,8329.278058088712,29827.14472601568,2
2014,20061,Corn,Non-Irrigated,6753.807980786326,24185.386379195832,7111.584054117945,25466.58249779636,2
2015,20061,Corn,Non-Irrigated,9220.579854809586,33018.89646007313,9653.677206737337,34569.818077326396,2
2016,20061,Corn,Non-Irrigated,7915.011025809999,28343.65448342561,8235.12645984355,29489.987852699753,2
2017,20061,Corn,Non-Irrigated,8366.93869738678,29962.00747534206,8655.670265338611,30995.95522017757,2
2018,20061,Corn,Non-Irrigated,1418.5507468937826,5079.830224626636,1462.488159408192,5237.170098840736,2
2019,20061,Corn,Non-Irrigated,7350.101436339022,26320.713243530037,7519.5743131803165,26927.59561549871,2
2020,20061,Corn,Non-Irrigated,9766.65912463153,34974.40632530551,9936.132001472824,35581.288697274176,2
2021,20061,Corn,Non-Irrigated,8567.795440309792,30681.275471749366,8668.223811771299,31040.90946995302,2
1990,20085,Corn,Irrigated,8442.259975982908,30231.732973994793,12509.609020173932,44796.909901242856,2
1991,20085,Corn,Irrigated,7601.17236499279,27219.79823903918,11097.335046496491,39739.55680150394,2
1992,20085,Corn,Irrigated,9923.578455040131,35536.33444749872,14285.935840399332,51157.93624447001,2
1993,20085,Corn,Irrigated,4236.821921032315,15172.05929921672,6013.148741257715,21533.08564244388,2
1994,20085,Corn,Irrigated,8210.019366978177,29400.07935314885,11492.771759126175,41155.61566943083,2
1995,20085,Corn,Irrigated,6898.173764762243,24702.36025161359,9528.141742410451,34120.275579571826,2
1996,20085,Corn,Irrigated,10482.211271294764,37536.79856250655,14279.659067182987,51135.45911958228,2
1997,20085,Corn,Irrigated,9747.828804982497,34906.97495064232,13105.902475726629,46932.23676557705,2
1998,20085,Corn,Irrigated,9377.49918521819,33580.82458226634,12440.564514794143,44549.66152747783,2
1999,20085,Corn,Irrigated,8548.96512066076,30613.84409708618,11197.763417958002,40099.190799707605,2
2000,20085,Corn,Irrigated,9019.723111886571,32299.628463665817,11662.244635967469,41762.49804139951,2
2001,20085,Corn,Irrigated,9459.097237030664,33873.02720580681,12076.511668246185,43245.98828398959,2
2002,20085,Corn,Irrigated,8580.34898674248,30726.229721524815,10821.157024977349,38750.56330644389,2
