Year,FIPS,spatial_scale,LandCover,area_m2,area_ha,area_prc,LandCoverGroup,Crop,irrigation_WaterUse_m,n_pdiv,fertilizer_kgHa,fertilizer_kgCrop,precip_m,precip_m_avg,tmin_C_avg,tmax_C_avg
2006,20013,county,Wheat,19543552,1954.3552,1.3120469574700568,all cult,Wheat,NA,NA,89,173937.6128,0.7448022060291125,0.062066850502426045,6.308330985827347,19.157895621275312
2006,20045,county,Corn,71544704,7154.4704,5.75407834868494,all cult,Corn,0.22640575156891365,4,250,1788617.6,0.756703441449026,0.06305862012075217,7.503770371238807,20.02059945588067
2006,20045,county,Developed,156426816,15642.6816,12.58083554443559,developed,NA,NA,NA,NA,NA,0.756703441449026,0.06305862012075217,7.503770371238807,20.02059945588067
2006,20045,county,Double Crop,4751040,475.104,0.3821087357875728,all cult,NA,NA,NA,NA,NA,0.756703441449026,0.06305862012075217,7.503770371238807,20.02059945588067
2006,20045,county,Grass/Pasture/Shrubland,555705472,55570.5472,44.69335458681813,grassPastureHay,NA,NA,NA,NA,NA,0.756703441449026,0.06305862012075217,7.503770371238807,20.02059945588067
2006,20045,county,Other Crops,1894144,189.4144,0.15233906034039205,all cult,NA,NA,NA,NA,NA,0.756703441449026,0.06305862012075217,7.503770371238807,20.02059945588067
2006,20045,county,Sorghum,1843968.0000000002,184.3968,0.1483035885432956,all cult,Sorghum,NA,NA,112,20652.441600000002,0.756703441449026,0.06305862012075217,7.503770371238807,20.02059945588067
2006,20045,county,Soybeans,134051456,13405.1456,10.781267339917878,all cult,Soybeans,0.15426283813044595,9,56,750688.1536,0.756703441449026,0.06305862012075217,7.503770371238807,20.02059945588067
2006,20045,county,Wheat,12387200,1238.72,0.996257099908193,all cult,Wheat,NA,NA,89,110246.08,0.756703441449026,0.06305862012075217,7.503770371238807,20.02059945588067
2006,20061,county,Corn,18662336,1866.2336,1.7486483309826046,all cult,Corn,0.31264245352911846,10,250,466558.4,0.7062612820975482,0.05885510684146235,6.803991731007916,20.445261414845806
2006,20061,county,Developed,78293376,7829.3376,7.336036671368124,developed,NA,NA,NA,NA,NA,0.7062612820975482,0.05885510684146235,6.803991731007916,20.445261414845806
2006,20061,county,Double Crop,2518208,251.8208,0.23595439586271744,all cult,NA,NA,NA,NA,NA,0.7062612820975482,0.05885510684146235,6.803991731007916,20.445261414845806
2006,20061,county,Grass/Pasture/Shrubland,654834432,65483.4432,61.35754583921016,grassPastureHay,NA,NA,NA,NA,NA,0.7062612820975482,0.05885510684146235,6.803991731007916,20.445261414845806
2006,20061,county,Other Crops,13048896,1304.8896,1.2226727785613538,all cult,NA,NA,NA,NA,NA,0.7062612820975482,0.05885510684146235,6.803991731007916,20.445261414845806
2006,20061,county,Sorghum,16837184,1683.7184,1.5776328161730135,all cult,Sorghum,NA,NA,112,188576.4608,0.7062612820975482,0.05885510684146235,6.803991731007916,20.445261414845806
2006,20061,county,Soybeans,40805632,4080.5632,3.823460272684532,all cult,Soybeans,0.13893555427555232,9,56,228511.5392,0.7062612820975482,0.05885510684146235,6.803991731007916,20.445261414845806
2006,20061,county,Wheat,35828800,3582.88,3.3571344616831222,all cult,Wheat,NA,NA,89,318876.32,0.7062612820975482,0.05885510684146235,6.803991731007916,20.445261414845806
2006,20085,county,Corn,72501184,7250.1184,4.262996987007623,all cult,Corn,NA,NA,250,1812529.6,0.7471164252462031,0.062259702103850255,6.337241230313762,19.677719465675292
2006,20085,county,Developed,86980096,8698.0096,5.11434250753248,developed,NA,NA,NA,NA,NA,0.7471164252462031,0.062259702103850255,6.337241230313762,19.677719465675292
2006,20085,county,Double Crop,1157184,115.7184,0.06804125992498866,all cult,NA,NA,NA,NA,NA,0.7471164252462031,0.062259702103850255,6.337241230313762,19.677719465675292
2006,20085,county,Grass/Pasture/Shrubland,1077319488,107731.9488,63.34530662821444,grassPastureHay,NA,NA,NA,NA,NA,0.7471164252462031,0.062259702103850255,6.337241230313762,19.677719465675292
2006,20085,county,Other Crops,3703616,370.3616,0.21776891049163036,all cult,NA,NA,NA,NA,NA,0.7471164252462031,0.062259702103850255,6.337241230313762,19.677719465675292
2006,20085,county,Sorghum,5048960,504.896,0.2968737899166172,all cult,Sorghum,NA,NA,112,56548.352,0.7471164252462031,0.062259702103850255,6.337241230313762,19.677719465675292
2006,20085,county,Soybeans,143500224,14350.0224,8.437669411673593,all cult,Soybeans,NA,NA,56,803601.2544,0.7471164252462031,0.062259702103850255,6.337241230313762,19.677719465675292
2006,20085,county,Wheat,20123712,2012.3712,1.1832541055248027,all cult,Wheat,NA,NA,89,179101.0368,0.7471164252462031,0.062259702103850255,6.337241230313762,19.677719465675292
2006,20087,county,Corn,92853824,9285.3824,6.460869071881506,all cult,Corn,0.24518974574560068,18,250,2321345.6,0.7591149062376954,0.06325957551980796,7.035894731162274,19.67894926209383
2006,20087,county,Developed,91263871.99999999,9126.3872,6.350238499439209,developed,NA,NA,NA,NA,NA,0.7591149062376954,0.06325957551980796,7.035894731162274,19.67894926209383
2006,20087,county,Double Crop,3596992,359.6992,0.250282577103181,all cult,NA,NA,NA,NA,NA,0.7591149062376954,0.06325957551980796,7.035894731162274,19.67894926209383
2006,20087,county,Grass/Pasture/Shrubland,647693760,64769.376,45.06722934786878,grassPastureHay,NA,NA,NA,NA,NA,0.7591149062376954,0.06325957551980796,7.035894731162274,19.67894926209383
2006,20087,county,Other Crops,1906688,190.6688,0.1326694044278414,all cult,NA,NA,NA,NA,NA,0.7591149062376954,0.06325957551980796,7.035894731162274,19.67894926209383
2006,20087,county,Sorghum,4553472,455.3472,0.31683548557438435,all cult,Sorghum,NA,NA,112,50998.886399999996,0.7591149062376954,0.06325957551980796,7.035894731162274,19.67894926209383
2006,20087,county,Soybeans,176280832,17628.0832,12.265810134371415,all cult,Soybeans,0.11521189499548469,10,56,987172.6592000001,0.7591149062376954,0.06325957551980796,7.035894731162274,19.67894926209383
2006,20087,county,Wheat,9091264,909.1264,0.6325799398623555,all cult,Wheat,NA,NA,89,80912.2496,0.7591149062376954,0.06325957551980796,7.035894731162274,19.67894926209383
2006,20091,county,Corn,30889600,3088.96,2.5231954669576666,all cult,Corn,NA,NA,250,772240,0.8029680789224427,0.06691400657687022,7.782753823020264,19.781629810269052
2006,20091,county,Developed,508762688,50876.2688,41.55792590770996,developed,NA,NA,NA,NA,NA,0.8029680789224427,0.06691400657687022,7.782753823020264,19.781629810269052
2006,20091,county,Double Crop,6356672,635.6672,0.5192403260429634,all cult,NA,NA,NA,NA,NA,0.8029680789224427,0.06691400657687022,7.782753823020264,19.781629810269052
2006,20091,county,Grass/Pasture/Shrubland,421343552,42134.3552,34.4171546552316,grassPastureHay,NA,NA,NA,NA,NA,0.8029680789224427,0.06691400657687022,7.782753823020264,19.781629810269052
2006,20091,county,Other Crops,1025472,102.5472,0.08376496626346772,all cult,NA,NA,NA,NA,NA,0.8029680789224427,0.06691400657687022,7.782753823020264,19.781629810269052
2006,20091,county,Sorghum,1016063.9999999999,101.6064,0.08299648033444507,all cult,Sorghum,NA,NA,112,11379.916799999999,0.8029680789224427,0.06691400657687022,7.782753823020264,19.781629810269052
2006,20091,county,Soybeans,81479552,8147.9552,6.65560046928874,all cult,Soybeans,NA,NA,56,456285.49120000005,0.8029680789224427,0.06691400657687022,7.782753823020264,19.781629810269052
2006,20091,county,Wheat,6798848,679.8848,0.5553591647070276,all cult,Wheat,NA,NA,89,60509.747200000005,0.8029680789224427,0.06691400657687022,7.782753823020264,19.781629810269052
2006,20103,county,Corn,40441856,4044.1856,3.4237319634157672,all cult,Corn,NA,NA,250,1011046.3999999999,0.7841364040579282,0.06534470033816067,7.464346273584326,19.87797958274295
2006,20103,county,Developed,125712832,12571.2832,10.642613462891427,developed,NA,NA,NA,NA,NA,0.7841364040579282,0.06534470033816067,7.464346273584326,19.87797958274295
2006,20103,county,Double Crop,2734592,273.4592,0.2315054491391555,all cult,NA,NA,NA,NA,NA,0.7841364040579282,0.06534470033816067,7.464346273584326,19.87797958274295
2006,20103,county,Grass/Pasture/Shrubland,556188416,55618.8416,47.085872061380805,grassPastureHay,NA,NA,NA,NA,NA,0.7841364040579282,0.06534470033816067,7.464346273584326,19.87797958274295
2006,20103,county,Other Crops,1442560,144.256,0.1221244341789123,all cult,NA,NA,NA,NA,NA,0.7841364040579282,0.06534470033816067,7.464346273584326,19.87797958274295
2006,20103,county,Sorghum,1210496,121.0496,0.10247832955013075,all cult,Sorghum,NA,NA,112,13557.555199999999,0.7841364040579282,0.06534470033816067,7.464346273584326,19.87797958274295
2006,20103,county,Soybeans,114357376,11435.7376,9.68128177558308,all cult,Soybeans,0.08142699840358612,4,56,640401.3056000001,0.7841364040579282,0.06534470033816067,7.464346273584326,19.87797958274295
2006,20103,county,Wheat,5679296.000000001,567.9296,0.48079858760437,all cult,Wheat,NA,NA,89,50545.7344,0.7841364040579282,0.06534470033816067,7.464346273584326,19.87797958274295
2006,20117,county,Corn,177481920,17748.192,7.629456076872887,all cult,Corn,0.21035809485685694,10,250,4437048,0.7204075817029613,0.06003396514191344,5.885636451509287,19.378353293736797
2006,20117,county,Developed,131912704,13191.2704,5.670561717776855,developed,NA,NA,NA,NA,NA,0.7204075817029613,0.06003396514191344,5.885636451509287,19.378353293736797
2006,20117,county,Double Crop,3104640,310.464,0.13345987306483184,all cult,NA,NA,NA,NA,NA,0.7204075817029613,0.06003396514191344,5.885636451509287,19.378353293736797
2006,20117,county,Grass/Pasture/Shrubland,945710975.9999999,94571.0976,40.65349503097887,grassPastureHay,NA,NA,NA,NA,NA,0.7204075817029613,0.06003396514191344,5.885636451509287,19.378353293736797
2006,20117,county,Other Crops,19007296,1900.7296,0.8170710006524704,all cult,NA,NA,NA,NA,NA,0.7204075817029613,0.06003396514191344,5.885636451509287,19.378353293736797
2006,20117,county,Sorghum,82887616,8288.7616,3.563108994925829,all cult,Sorghum,NA,NA,112,928341.2992,0.7204075817029613,0.06003396514191344,5.885636451509287,19.378353293736797
2006,20117,county,Soybeans,440071744.00000006,44007.1744,18.917465179105847,all cult,Soybeans,0.17318448365513603,11,56,2464401.7664,0.7204075817029613,0.06003396514191344,5.885636451509287,19.378353293736797
2006,20117,county,Wheat,238404991.99999997,23840.4992,10.248370171853177,all cult,Wheat,NA,NA,89,2121804.4288,0.7204075817029613,0.06003396514191344,5.885636451509287,19.378353293736797
2006,20127,county,Corn,37980096,3798.0096,2.0975968824420868,all cult,Corn,NA,NA,250,949502.4,0.6856179849493343,0.05713483207911119,6.7948285317635975,20.31765416806885
2006,20127,county,Developed,85945216,8594.5216,4.746655120155878,developed,NA,NA,NA,NA,NA,0.6856179849493343,0.05713483207911119,6.7948285317635975,20.31765416806885
2006,20127,county,Double Crop,5519360,551.936,0.30482788482355494,all cult,NA,NA,NA,NA,NA,0.6856179849493343,0.05713483207911119,6.7948285317635975,20.31765416806885
2006,20127,county,Grass/Pasture/Shrubland,1305055808,130505.5808,72.07672656419139,grassPastureHay,NA,NA,NA,NA,NA,0.6856179849493343,0.05713483207911119,6.7948285317635975,20.31765416806885
2006,20127,county,Other Crops,14431871.999999998,1443.1871999999998,0.7970556397488634,all cult,NA,NA,NA,NA,NA,0.6856179849493343,0.05713483207911119,6.7948285317635975,20.31765416806885
2006,20127,county,Sorghum,42746816,4274.6816,2.3608573284260665,all cult,Sorghum,NA,NA,112,478764.3392,0.6856179849493343,0.05713483207911119,6.7948285317635975,20.31765416806885
2006,20127,county,Soybeans,100358272,10035.8272,5.542671573933752,all cult,Soybeans,NA,NA,56,562006.3232,0.6856179849493343,0.05713483207911119,6.7948285317635975,20.31765416806885
2006,20127,county,Wheat,87252928,8725.2928,4.818878545139641,all cult,Wheat,NA,NA,89,776551.0591999999,0.6856179849493343,0.05713483207911119,6.7948285317635975,20.31765416806885
2006,20131,county,Corn,242099199.99999997,24209.92,12.862872119391444,all cult,Corn,NA,NA,250,6052480,0.7322187615976565,0.06101823013313805,5.780948010197416,19.161570167541527
2006,20131,county,Developed,108411520,10841.152,5.75996747626117,developed,NA,NA,NA,NA,NA,0.7322187615976565,0.06101823013313805,5.780948010197416,19.161570167541527
2006,20131,county,Double Crop,1922367.9999999998,192.2368,0.10213653638843206,all cult,NA,NA,NA,NA,NA,0.7322187615976565,0.06101823013313805,5.780948010197416,19.161570167541527
2006,20131,county,Grass/Pasture/Shrubland,815087168.0000001,81508.71680000001,43.3060580462097,grassPastureHay,NA,NA,NA,NA,NA,0.7322187615976565,0.06101823013313805,5.780948010197416,19.161570167541527
2006,20131,county,Other Crops,27910400,2791.04,1.4828958790490137,all cult,NA,NA,NA,NA,NA,0.7322187615976565,0.06101823013313805,5.780948010197416,19.161570167541527
2006,20131,county,Sorghum,13647872,1364.7872,0.7251194231035177,all cult,Sorghum,NA,NA,112,152856.1664,0.7322187615976565,0.06101823013313805,5.780948010197416,19.161570167541527
2006,20131,county,Soybeans,330672384,33067.2384,17.568817198926315,all cult,Soybeans,NA,NA,56,1851765.3504,0.7322187615976565,0.06101823013313805,5.780948010197416,19.161570167541527
2006,20131,county,Wheat,85267840,8526.784,4.5303302192519865,all cult,Wheat,NA,NA,89,758883.776,0.7322187615976565,0.06101823013313805,5.780948010197416,19.161570167541527
2006,20139,county,Corn,78691648,7869.1648,4.252121146393415,all cult,Corn,NA,NA,250,1967291.2,0.7361258935771168,0.061343824464759736,7.231277127897381,20.129700971629543
2006,20139,county,Developed,123113088,12311.3088,6.65244378771421,developed,NA,NA,NA,NA,NA,0.7361258935771168,0.061343824464759736,7.231277127897381,20.129700971629543
2006,20139,county,Double Crop,13738816,1373.8816,0.7423800558860858,all cult,NA,NA,NA,NA,NA,0.7361258935771168,0.061343824464759736,7.231277127897381,20.129700971629543
2006,20139,county,Grass/Pasture/Shrubland,1039126144,103912.6144,56.14941817805937,grassPastureHay,NA,NA,NA,NA,NA,0.7361258935771168,0.061343824464759736,7.231277127897381,20.129700971629543
2006,20139,county,Other Crops,1784384,178.4384,0.09641959639333096,all cult,NA,NA,NA,NA,NA,0.7361258935771168,0.061343824464759736,7.231277127897381,20.129700971629543
2006,20139,county,Sorghum,8680448,868.0448,0.4690499873756415,all cult,Sorghum,NA,NA,112,97221.0176,0.7361258935771168,0.061343824464759736,7.231277127897381,20.129700971629543
2006,20139,county,Soybeans,241374784,24137.4784,13.042741502281704,all cult,Soybeans,NA,NA,56,1351698.7904,0.7361258935771168,0.061343824464759736,7.231277127897381,20.129700971629543
2006,20139,county,Wheat,15764672,1576.4672,0.85184764687043,all cult,Wheat,NA,NA,89,140305.5808,0.7361258935771168,0.061343824464759736,7.231277127897381,20.129700971629543
2006,20149,county,Corn,99928640,9992.864,4.506766160147543,all cult,Corn,0.2000070996966957,59,250,2498216,0.7239653870607303,0.06033044892172752,6.231531585346591,19.810937586697687
2006,20149,county,Developed,119578816,11957.8816,5.392986049037689,developed,NA,NA,NA,NA,NA,0.7239653870607303,0.06033044892172752,6.231531585346591,19.810937586697687
2006,20149,county,Double Crop,1423744,142.3744,0.06421063350720178,all cult,NA,NA,NA,NA,NA,0.7239653870607303,0.06033044892172752,6.231531585346591,19.810937586697687
2006,20149,county,Grass/Pasture/Shrubland,1438571007.9999998,143857.1008,64.87932926760276,grassPastureHay,NA,NA,NA,NA,NA,0.7239653870607303,0.06033044892172752,6.231531585346591,19.810937586697687
2006,20149,county,Other Crops,21895551.999999996,2189.5552,0.9874859981217682,all cult,NA,NA,NA,NA,NA,0.7239653870607303,0.06033044892172752,6.231531585346591,19.810937586697687
2006,20149,county,Sorghum,11709824.000000002,1170.9824,0.5281112456297169,all cult,Sorghum,NA,NA,112,131150.0288,0.7239653870607303,0.06033044892172752,6.231531585346591,19.810937586697687
2006,20149,county,Soybeans,149314368,14931.4368,6.7340548307894235,all cult,Soybeans,0.14985187827837423,43,56,836160.4608,0.7239653870607303,0.06033044892172752,6.231531585346591,19.810937586697687
2006,20149,county,Wheat,24865344,2486.5344,1.1214231565607993,all cult,Wheat,NA,NA,89,221301.5616,0.7239653870607303,0.06033044892172752,6.231531585346591,19.810937586697687
2006,20161,county,Corn,29381184,2938.1184,1.8431701976553632,all cult,Corn,0.17458497976494927,10,250,734529.6,0.7009599581828807,0.05841332984857339,6.522646204630557,20.218241012096428
2006,20161,county,Developed,133433664.00000001,13343.3664,8.370695777568368,developed,NA,NA,NA,NA,NA,0.7009599581828807,0.05841332984857339,6.522646204630557,20.218241012096428
2006,20161,county,Double Crop,2725184,272.5184,0.17095900328343586,all cult,NA,NA,NA,NA,NA,0.7009599581828807,0.05841332984857339,6.522646204630557,20.218241012096428
2006,20161,county,Grass/Pasture/Shrubland,909919808,90991.9808,57.08201113889386,grassPastureHay,NA,NA,NA,NA,NA,0.7009599581828807,0.05841332984857339,6.522646204630557,20.218241012096428
2006,20161,county,Other Crops,11151616,1115.1616,0.6995744714337144,all cult,NA,NA,NA,NA,NA,0.7009599581828807,0.05841332984857339,6.522646204630557,20.218241012096428
2006,20161,county,Sorghum,31626560,3162.656,1.984029399440104,all cult,Sorghum,NA,NA,112,354217.472,0.7009599581828807,0.05841332984857339,6.522646204630557,20.218241012096428
2006,20161,county,Soybeans,88149824.00000001,8814.9824,5.529904054423589,all cult,Soybeans,0.2421854314358448,10,56,493639.01440000004,0.7009599581828807,0.05841332984857339,6.522646204630557,20.218241012096428
2006,20161,county,Wheat,74828096,7482.8096,4.6941919186951235,all cult,Wheat,NA,NA,89,665970.0543999999,0.7009599581828807,0.05841332984857339,6.522646204630557,20.218241012096428
2006,20177,county,Corn,93296000,9329.6,6.406143006645164,all cult,Corn,0.17993325303159924,76,250,2332400,0.756390856870424,0.06303257140586867,7.115341024903888,20.087205885652462
2006,20177,county,Developed,257449919.99999997,25744.992,17.677724710270073,developed,NA,NA,NA,NA,NA,0.756390856870424,0.06303257140586867,7.115341024903888,20.087205885652462
2006,20177,county,Double Crop,2402176,240.2176,0.16494472413748554,all cult,NA,NA,NA,NA,NA,0.756390856870424,0.06303257140586867,7.115341024903888,20.087205885652462
2006,20177,county,Grass/Pasture/Shrubland,692911743.9999999,69291.17439999999,47.57858560975715,grassPastureHay,NA,NA,NA,NA,NA,0.756390856870424,0.06303257140586867,7.115341024903888,20.087205885652462
2006,20177,county,Other Crops,2248512,224.8512,0.15439342977359938,all cult,NA,NA,NA,NA,NA,0.756390856870424,0.06303257140586867,7.115341024903888,20.087205885652462
2006,20177,county,Sorghum,4189696,418.9696,0.2876842708194265,all cult,Sorghum,NA,NA,112,46924.5952,0.756390856870424,0.06303257140586867,7.115341024903888,20.087205885652462
2006,20177,county,Soybeans,143641344,14364.1344,9.86309157231513,all cult,Soybeans,0.11368852685083412,44,56,804391.5264000001,0.756390856870424,0.06303257140586867,7.115341024903888,20.087205885652462
2006,20177,county,Wheat,11057536,1105.7536,0.7592625291237258,all cult,Wheat,NA,NA,89,98412.0704,0.756390856870424,0.06303257140586867,7.115341024903888,20.087205885652462
2006,20197,county,Corn,49978432,4997.8432,2.4182620742397507,all cult,Corn,0.21197611072840464,28,250,1249460.8,0.7393812449672601,0.061615103747271666,6.640328653847322,20.03923410555214
2006,20197,county,Developed,99652672,9965.2672,4.821805479896879,developed,NA,NA,NA,NA,NA,0.7393812449672601,0.061615103747271666,6.640328653847322,20.03923410555214
2006,20197,county,Double Crop,1931776.0000000002,193.1776,0.09347113244222166,all cult,NA,NA,NA,NA,NA,0.7393812449672601,0.061615103747271666,6.640328653847322,20.03923410555214
2006,20197,county,Grass/Pasture/Shrubland,1594884927.9999998,159488.49279999998,77.17028285639283,grassPastureHay,NA,NA,NA,NA,NA,0.7393812449672601,0.061615103747271666,6.640328653847322,20.03923410555214
2006,20197,county,Other Crops,11587520,1158.752,0.5606750558019626,all cult,NA,NA,NA,NA,NA,0.7393812449672601,0.061615103747271666,6.640328653847322,20.03923410555214
2006,20197,county,Sorghum,6162240,616.224,0.2981668429366324,all cult,Sorghum,NA,NA,112,69017.088,0.7393812449672601,0.061615103747271666,6.640328653847322,20.03923410555214
2006,20197,county,Soybeans,102591104,10259.1104,4.963984783627986,all cult,Soybeans,0.17401157583120083,19,56,574510.1823999999,0.7393812449672601,0.061615103747271666,6.640328653847322,20.03923410555214
2006,20197,county,Wheat,17282496,1728.2496,0.8362328098848759,all cult,Wheat,NA,NA,89,153814.2144,0.7393812449672601,0.061615103747271666,6.640328653847322,20.03923410555214
2006,20209,county,Corn,4609920,460.992,1.17827170785274,all cult,Corn,NA,NA,250,115248,0.7705715398027979,0.06421429498356648,7.760731786969087,19.76983961784979
2006,20209,county,Developed,186667264,18666.7264,47.71118716886156,developed,NA,NA,NA,NA,NA,0.7705715398027979,0.06421429498356648,7.760731786969087,19.76983961784979
2006,20209,county,Double Crop,332416,33.2416,0.08496381022611593,all cult,NA,NA,NA,NA,NA,0.7705715398027979,0.06421429498356648,7.760731786969087,19.76983961784979
2006,20209,county,Grass/Pasture/Shrubland,86199232.00000001,8619.923200000001,22.032077846087255,grassPastureHay,NA,NA,NA,NA,NA,0.7705715398027979,0.06421429498356648,7.760731786969087,19.76983961784979
2006,20209,county,Other Crops,128576,12.8576,0.03286336055915805,all cult,NA,NA,NA,NA,NA,0.7705715398027979,0.06421429498356648,7.760731786969087,19.76983961784979
2006,20209,county,Sorghum,266560,26.656,0.06813135725679109,all cult,Sorghum,NA,NA,112,2985.4719999999998,0.7705715398027979,0.06421429498356648,7.760731786969087,19.76983961784979
2006,20209,county,Soybeans,17919104,1791.9104,4.580030298415344,all cult,Soybeans,0.24961483170352222,5,56,100346.9824,0.7705715398027979,0.06421429498356648,7.760731786969087,19.76983961784979
2006,20209,county,Wheat,504896.00000000006,50.4896,0.12904880609815725,all cult,Wheat,NA,NA,89,4493.5744,0.7705715398027979,0.06421429498356648,7.760731786969087,19.76983961784979
2007,20005,county,Corn,202839616,20283.9616,18.282262691815223,all cult,Corn,0.1414556360334911,4,250,5070990.399999999,0.9925826178774776,0.08271521815645645,6.5599980427079645,18.238626588875054
2007,20005,county,Developed,89623744,8962.3744,8.077933016950686,developed,NA,NA,NA,NA,NA,0.9925826178774776,0.08271521815645645,6.5599980427079645,18.238626588875054
2007,20005,county,Double Crop,7451136,745.1136,0.6715829402104633,all cult,NA,NA,NA,NA,NA,0.9925826178774776,0.08271521815645645,6.5599980427079645,18.238626588875054
2007,20005,county,Grass/Pasture/Shrubland,367717951.99999994,36771.79519999999,33.14301381324002,grassPastureHay,NA,NA,NA,NA,NA,0.9925826178774776,0.08271521815645645,6.5599980427079645,18.238626588875054
2007,20005,county,Other Crops,504896.00000000006,50.4896,0.04550709317082685,all cult,NA,NA,NA,NA,NA,0.9925826178774776,0.08271521815645645,6.5599980427079645,18.238626588875054
2007,20005,county,Sorghum,3324160,332.416,0.2996119177706612,all cult,Sorghum,NA,NA,112,37230.592,0.9925826178774776,0.08271521815645645,6.5599980427079645,18.238626588875054
2007,20005,county,Soybeans,184578688,18457.8688,16.636375713344886,all cult,Soybeans,NA,NA,56,1033640.6528,0.9925826178774776,0.08271521815645645,6.5599980427079645,18.238626588875054
2007,20005,county,Wheat,26204416,2620.4416,2.361846400841175,all cult,Wheat,NA,NA,89,233219.30240000002,0.9925826178774776,0.08271521815645645,6.5599980427079645,18.238626588875054
2007,20013,county,Corn,427198464,42719.8464,28.67976327573829,all cult,Corn,NA,NA,250,10679961.6,1.0519461815409936,0.08766218179508278,5.908474966195936,17.879419610439225
2007,20013,county,Developed,106915648,10691.5648,7.177730571409924,developed,NA,NA,NA,NA,NA,1.0519461815409936,0.08766218179508278,5.908474966195936,17.879419610439225
2007,20013,county,Double Crop,5616576,561.6576,0.37706612657716165,all cult,NA,NA,NA,NA,NA,1.0519461815409936,0.08766218179508278,5.908474966195936,17.879419610439225
2007,20013,county,Grass/Pasture/Shrubland,399172032.00000006,39917.2032,26.798222252164816,grassPastureHay,NA,NA,NA,NA,NA,1.0519461815409936,0.08766218179508278,5.908474966195936,17.879419610439225
2007,20013,county,Other Crops,2468032,246.8032,0.16569014048923855,all cult,NA,NA,NA,NA,NA,1.0519461815409936,0.08766218179508278,5.908474966195936,17.879419610439225
2007,20013,county,Sorghum,6529152,652.9152,0.4383314771265498,all cult,Sorghum,NA,NA,112,73126.5024,1.0519461815409936,0.08766218179508278,5.908474966195936,17.879419610439225
2007,20013,county,Soybeans,372152256,37215.2256,24.98426259466128,all cult,Soybeans,NA,NA,56,2084052.6335999998,1.0519461815409936,0.08766218179508278,5.908474966195936,17.879419610439225
2007,20013,county,Wheat,27405504,2740.5504,1.839855321137809,all cult,Wheat,NA,NA,89,243908.98560000001,1.0519461815409936,0.08766218179508278,5.908474966195936,17.879419610439225
2007,20045,county,Corn,92910272,9291.0272,7.472432683286084,all cult,Corn,0.12551368628861825,11,250,2322756.8000000003,0.9977121072798083,0.08314267560665069,7.182125421404468,18.713564343342316
